Condo/Co-op,853 W California Ave Unit B,Sunnyvale,CA,94086,750000,2,2.0,Sunnyvale,760,2002,1983
Condo/Co-op,1080 Sutter St #604,San Francisco,CA,94109,1178000,3,2.0,SF District 8,1226,7000,2014
Condo/Co-op,39865 Cedar Blvd #131,Newark,CA,94560,699000,3,2.0,Newark,1283,1283,1986
Condo/Co-op,986 Kiely Blvd Unit D,Santa Clara,CA,95051,598888,2,1.0,Santa Clara,882,924,1971
Mobile/Manufactured Home,1225 Vienna Dr #729,Sunnyvale,CA,94089,324995,2,3.0,SUNNYVALE,1560,,2022
Single Family Residential,6078 Bennington Dr,Newark,CA,94560,1299888,4,2.0,NEWARK,1464,6036,1963
Single Family Residential,16275 Greenridge Ter,Los Gatos,CA,95032,3900000,4,3.0,LOS GATOS,2912,43560,1963
Condo/Co-op,2623 Copa Del Oro Dr,Union City,CA,94587,580000,2,2.0,VILLA DE ORO,908,33401,1986
Condo/Co-op,301 Mission St Unit 18E,San Francisco,CA,94105,850000,2,2.0,SAN FRANCISCO,1098,,2009
Condo/Co-op,3531 Ivalynn Cir,San Jose,CA,95132,798000,2,2.0,SAN JOSE,934,,1986
Condo/Co-op,1087 N Abbott Ave,Milpitas,CA,95035,888888,3,2.0,Milpitas,1174,,1979
Single Family Residential,1124 Summerdale Dr,San Jose,CA,95132,1988888,5,3.0,SAN JOSE,2533,5663,1975
Multi-Family (5+ Unit),530 Columbia Ave,Sunnyvale,CA,94085,2200000,9,7.0,SUNNYVALE,4101,8646,1961
Vacant Land,0 Evans Ave,San Francisco,CA,94124,30000,,,San Francisco,,5196,
Single Family Residential,1299 Canton Dr,Milpitas,CA,95035,1750000,5,3.0,MILPITAS,1867,6060,1966
Single Family Residential,430 Homer Ave,Palo Alto,CA,94301,2198000,2,2.0,PALO ALTO,1114,3750,1903
Single Family Residential,46 Morse Ln,Redwood City,CA,94062,2300000,4,3.0,REDWOOD CITY,3110,53143,1967
Single Family Residential,1674 Nugget Ct,San Jose,CA,95127,1149000,4,2.0,SAN JOSE,1353,5300,1971
Single Family Residential,22528 Stevens Creek Blvd,Cupertino,CA,95014,3148888,4,4.0,CUPERTINO,2501,1760,2024
Condo/Co-op,2204 Almaden Rd Unit A,San Jose,CA,95125,800000,2,2.0,SAN JOSE,1163,,1979
Condo/Co-op,5627 Blossom Park Ln,San Jose,CA,95118,824000,2,2.5,San Jose,1224,,1984
Condo/Co-op,178 Monte Verano Ct,San Jose,CA,95116,395000,1,1.0,SAN JOSE,597,,1988
Townhouse,Residence F2 Plan,Fremont,CA,94536,1285880,3,2.0,Fremont,1571,,
Single Family Residential,2450 Mclaughlin Ave,San Jose,CA,95121,3599888,3,1.0,San Jose,1300,36062,1935
Single Family Residential,1149 S Daniel Way,San Jose,CA,95128,3198888,4,3.0,San Jose,2336,6650,1951
Townhouse,962 E Duane Ave,Sunnyvale,CA,94085,1650000,4,3.5,AVENUE,1882,1082,2011
Mobile/Manufactured Home,3015 E Bayshore Rd #143,Redwood City,CA,94063,279000,3,2.0,REDWOOD CITY,1080,,1997
Townhouse,21402 Dana Point Ln,Cupertino,CA,95014,1987990,3,3.0,Cupertino,1596,,2024
Condo/Co-op,188 Minna St Unit 37B,San Francisco,CA,94105,2498000,2,2.0,SF District 9,1639,33057,2005
Condo/Co-op,260 King #865,San Francisco,CA,94107,875000,2,2.0,MISSION BAY,1083,,2004
Condo/Co-op,30 S 22nd St #2,San Jose,CA,95116,833000,2,2.5,SAN JOSE,1410,,2024
Multi-Family (2-4 Unit),327-329 Edwards Ave,San Jose,CA,95110,1250000,5,3.0,SAN JOSE,2020,6969,1899
Single Family Residential,1808 Mirabella,Union City,CA,94587,1530000,3,2.5,CA ROSECREST,1851,4857,1999
Single Family Residential,345 Athens St,San Francisco,CA,94112,999888,3,1.5,SAN FRANCISCO,1731,2500,1912
Single Family Residential,34348 Atteridge Ct,Fremont,CA,94555,1998000,4,2.0,NORTHGATE,1855,8520,1970
Multi-Family (5+ Unit),385 E San Fernando St,San Jose,CA,95112,1750000,11,7.0,SAN JOSE,5020,5850,1951
Other,119 E Poplar Ave,San Mateo,CA,94401,1828000,6,3.0,SAN MATEO,1940,7384,1922
Single Family Residential,1851 Tunitas Creek Rd,Half Moon Bay,CA,94019,3175000,3,2.5,HALF MOON BAY,2900,879041,1986
Single Family Residential,97 Birch Ln,San Jose,CA,95127,999999,3,1.0,San Jose,1174,8100,1946
Condo/Co-op,2903 Corvin Dr #115,Santa Clara,CA,95051,1695000,4,3.5,SANTA CLARA,2049,,2021
Condo/Co-op,555 4th St #828,San Francisco,CA,94107,679000,1,1.0,SAN FRANCISCO,680,,2006
Single Family Residential,3886 Ross Rd,Palo Alto,CA,94303,6188000,5,5.5,PALO ALTO,3669,7300,2024
Condo/Co-op,1 Baldwin Ave #323,San Mateo,CA,94401,599000,2,2.0,SAN MATEO,1429,,1988
Vacant Land,6 Claitor Way,San Jose,CA,95132,250000,,,SAN JOSE,,10019,
Single Family Residential,1503 Timber Creek Dr,San Jose,CA,95131,1590000,4,2.5,SAN JOSE,1793,3220,1986
Single Family Residential,648 Colleen Dr,San Jose,CA,95123,1780000,3,2.0,SAN JOSE,1531,7405,1975
Single Family Residential,1995 Old Calaveras Rd,Milpitas,CA,95035,11990000,3,2.0,Milpitas,1750,859003,2004
Single Family Residential,245 Silver Ave,San Francisco,CA,94112,1688888,5,3.0,SAN FRANCISCO,2535,2535,1928
Condo/Co-op,845 N Humboldt St #403,San Mateo,CA,94401,550000,1,1.0,SAN MATEO,693,,1965
Condo/Co-op,1400 Mission St #1502,San Francisco,CA,94103,429000,1,1.0,SAN FRANCISCO,635,,2015
Condo/Co-op,5167 Fairbanks Cmn,Fremont,CA,94555,878000,2,2.0,FREMONT,1100,,1989
Single Family Residential,245 Heacox Rd,Woodside,CA,94062,3872000,5,5.0,WOODSIDE,5740,126324,1995
Single Family Residential,6099 Bigelow Ct,San Jose,CA,95123,1325000,3,2.0,SAN JOSE,1143,6552,1968
Mobile/Manufactured Home,2053 East Bayshore Rd #29,Redwood City,CA,94063,325000,3,2.0,REDWOOD CITY,1096,,2001
Townhouse,1020 Whitebick Dr,San Jose,CA,95129,1719000,3,2.5,San Jose,1532,1920,1973
Condo/Co-op,5029 Shalimar Cir,Fremont,CA,94555,799000,2,2.0,FREMONT,934,,1987
Single Family Residential,2085 Ocean Ave,San Francisco,CA,94127,1999888,5,4.0,SF District 4,2748,7762,1922
Single Family Residential,144 Dore St,San Francisco,CA,94103,895000,2,1.0,SF District 9,1124,2125,1907
Single Family Residential,298 Alturas Ave,Sunnyvale,CA,94085,1648000,3,2.0,SUNNYVALE,1482,5100,1956
Townhouse,379 Lundy Pl,Milpitas,CA,95035,1299999,3,3.0,MILPITAS,1618,,2024
Mobile/Manufactured Home,900 Golden Wheel Park Dr #197,San Jose,CA,95112,359950,3,2.0,Golden Wheel Mobile Home Park,1560,,2024
Mobile/Manufactured Home,440 Moffet #86,Mountain View,CA,94043,299900,2,2.0,MOUNTAIN VIEW,720,,2022
Townhouse,106 Limelight Ter,Fremont,CA,94536,1294526,3,2.0,Fremont,1672,,2024
Single Family Residential,18600 Barnhart Ave,Cupertino,CA,95014,3988000,5,4.5,CUPERTINO,2972,7500,2016
Condo/Co-op,264 Tradewinds Ct #2,San Jose,CA,95123,525000,2,1.0,SAN JOSE,903,3196,1970
Single Family Residential,1822 Tustin Dr,San Jose,CA,95122,1348888,5,3.0,SAN JOSE,1794,5500,1972
Single Family Residential,1513 Shaw Dr,San Jose,CA,95118,1750000,3,2.0,SAN JOSE,1631,6649,1959
Single Family Residential,32728 Shaver Lake St,Fremont,CA,94555,1938000,4,2.5,FREMONT,1889,5415,1977
Condo/Co-op,1101-1103 Dolores St,San Francisco,CA,94110,4690000,6,,SF District 5,4040,2500,1906
Condo/Co-op,165 Silcreek Dr,San Jose,CA,95116,649000,2,2.0,SAN JOSE,1313,,1984
Single Family Residential,471 Buena Vista Ave,Redwood City,CA,94061,3495000,4,3.5,REDWOOD CITY,2950,8610,1990
Mobile/Manufactured Home,547 Mountain Home Dr #68,San Jose,CA,95136,449000,3,3.0,SAN JOSE,1560,,1973
Condo/Co-op,618 Fillmore St #1,San Francisco,CA,94117,1299000,3,2.0,SF District 6,1500,2500,1980
Single Family Residential,36673 Bonnie St,Newark,CA,94560,995000,3,1.0,OLDE TOWNE,939,5100,1953
Condo/Co-op,455 Eureka St,San Francisco,CA,94114,2595000,3,3.0,SF District 5,2436,1486,1997
Townhouse,Plan 4B Plan,Mountain View,CA,94040,2037990,4,3.5,Mountain View,1697,,
Townhouse,132 Incense Ter,Sunnyvale,CA,94086,1498000,3,3.5,SUNNYVALE,1683,,2016
Condo/Co-op,1247 Harrison St #19,San Francisco,CA,94103,770000,1,1.5,SF District 9,1106,18203,2004
Townhouse,181 Centre St #28,Mountain View,CA,94041,1315000,2,2.0,Mountain View,1268,2240,1981
Condo/Co-op,2287 Vista Del Mar,San Mateo,CA,94404,1199999,3,2.5,San Mateo,1476,,1986
Townhouse,92 Ryland Park Way,San Jose,CA,95110,1128000,3,2.5,CENTRAL SAN JOSE,1512,1023,2001
Condo/Co-op,1 Steuart Ln #310,San Francisco,CA,94105,5395000,3,2.5,SF District 9,2278,,2021
Single Family Residential,2810 35th Ave,San Francisco,CA,94116,2488000,4,3.0,SF District 3,2530,2504,1940
Multi-Family (2-4 Unit),1249 9th Ave,San Francisco,CA,94122,1800000,3,2.0,SF District 2,1830,3001,1904
Vacant Land,3679 Madrid Ct,San Jose,CA,95132,650000,,,SAN JOSE,,13365,
Single Family Residential,1975 Scott St,San Jose,CA,95128,799988,2,1.0,SAN JOSE,680,1400,1920
Single Family Residential,1253 Shoal Dr,San Mateo,CA,94404,1699999,3,2.5,San Mateo,1690,3224,1974
Single Family Residential,37111 Elm St,Fremont,CA,94536,1888000,4,2.0,Fremont,2336,10080,1950
Mobile/Manufactured Home,1220 Vienna Dr #469,Sunnyvale,CA,94089,250000,2,2.0,SUNNYVALE,1477,,1975
Condo/Co-op,10 Crystal Springs Rd #2214,San Mateo,CA,94402,1120000,2,2.0,SAN MATEO,1238,,2008
Single Family Residential,1450 Edgewood Rd,Redwood City,CA,94062,4899950,6,5.0,REDWOOD CITY,3747,12415,2024
Single Family Residential,2082 Juliana Ct,Santa Clara,CA,95050,1499000,3,2.0,SANTA CLARA,1676,5700,1952
Condo/Co-op,150 Saratoga Ave #330,Santa Clara,CA,95051,720000,2,2.0,SANTA CLARA,1028,,1969
Townhouse,Residence 1B Plan,Fremont,CA,94538,959880,2,2.0,Fremont,1279,,
Vacant Land,11401 Clayton Rd,San Jose,CA,95127,649888,,,SAN JOSE,,58936,
Single Family Residential,3661 Kendra Way,San Jose,CA,95130,1798000,3,2.0,Campbell,1451,6181,1965
Single Family Residential,406 N 18th St,San Jose,CA,95112,1900000,4,4.5,SAN JOSE,2592,5790,2025
Condo/Co-op,5183 Cribari Knls,San Jose,CA,95135,529000,2,2.0,SAN JOSE,1223,,1969
Townhouse,Residence 3A Plan,Fremont,CA,94538,1099880,3,2.0,Fremont,1502,,
Condo/Co-op,308 Torrey Pine Ter #517,Sunnyvale,CA,94086,1013365,1,1.0,Sunnyvale,967,,2024
Condo/Co-op,1550 Technology Dr #2121,San Jose,CA,95110,575000,1,1.0,San Jose,914,801,2005
Single Family Residential,1190 Adler Ct,Fremont,CA,94536,1750000,3,2.0,Fremont,1843,6179,1980
Multi-Family (2-4 Unit),43150 Starr St,Fremont,CA,94539,2750500,7,5.0,Fremont,4056,9230,1977
Mobile/Manufactured Home,1111 Morse Ave #227,Sunnyvale,CA,94089,399000,2,2.0,SUNNYVALE,1352,,2022
Condo/Co-op,300 3rd St #1105,San Francisco,CA,94107,775000,1,1.0,SF District 9,807,48941,1990
Multi-Family (2-4 Unit),647-649 Jackson St,Santa Clara,CA,95050,1350000,4,2.0,SANTA CLARA,1498,4356,1954
Condo/Co-op,39078 Guardino Dr #110,Fremont,CA,94538,475000,1,1.0,FREMONT,693,,1990
Single Family Residential,140 Borel Ave,San Mateo,CA,94402,2988000,5,4.0,SAN MATEO,2310,7500,1941
Single Family Residential,119 Daphne Way,East Palo Alto,CA,94303,1200000,4,2.0,East Palo Alto,1570,6680,1955
Condo/Co-op,30 22nd St #1,San Jose,CA,95116,850000,2,2.5,SAN JOSE,1410,,2024
Multi-Family (5+ Unit),1037 N 7th St,San Jose,CA,95112,2150000,12,7.0,SAN JOSE,4065,7124,1956
Vacant Land,0 Sylvan Way,Redwood City,CA,94062,399000,,,REDWOOD CITY,,14672,
